Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Adjusted_User_score
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,,,,,,, 
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97,66,8.3,2899,Rockstar North,M,83
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,EA Sports,E,43
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,, 
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83,39,5.7,1443,Sledgehammer Games,M,57
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85,41,5,398,"EA Sports, EA Vancouver",E,50
Call of Duty: Black Ops 3,Xbox One,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,,,,,,, 
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,Bethesda Game Studios,M,65
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88,82,9.1,1599,Nintendo,E,91
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82,47,5.7,988,EA Sports,E,57
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T,61
Grand Theft Auto V,Xbox One,2014,Action,Take-Two Interactive,2.81,2.19,0,0.47,5.48,97,14,7.9,764,Rockstar North,M,79
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,Naughty Dog,T,79
Call of Duty: Advanced Warfare,Xbox One,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,Sledgehammer Games,M,54
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,Nintendo,E,81
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.6,1.08,0.81,0.38,4.87,,,,,,, 
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.88,2,0.07,0.77,4.71,,,,,,, 
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86,78,8.1,1264,Bluepoint Games,T,81
Halo 5: Guardians,Xbox One,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84,101,6.4,2438,343 Industries,T,64
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2,0.15,0.71,4.46,77,82,3.4,1129,Infinity Ward,M,34
Splatoon,WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81,88,8.5,1184,Nintendo,E10+,85
Nintendo Land,WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,77,61,7.9,471,Nintendo,E10+,79
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,93,83,9,1607,Nintendo,E,90
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,0.68,4.32,,,,,,, 
Fallout 4,Xbox One,2015,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88,39,6.2,1749,Bethesda Game Studios,M,62
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,88,31,8.4,809,EA DICE,M,84
Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05,80,80,6.3,2996,Ubisoft Montreal,M,63
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85,83,7.7,1653,Ubisoft Montreal,M,77
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92,79,9.2,10179,CD Projekt Red Studio,M,92
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70,40,4.9,2050,"Ubisoft, Ubisoft Montreal",M,49
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87,89,7.6,2679,Rocksteady Studios,M,76
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,87,51,6.7,364,Visual Concepts,E10+,67
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1.78,1.43,0.05,0.57,3.83,78,49,3.7,1564,Infinity Ward,M,37
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8,80,64,7,2219,Massive Entertainment,M,70
Star Wars Battlefront (2015),Xbox One,2015,Shooter,Electronic Arts,2.04,1.28,0.02,0.32,3.66,,,,,,, 
Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59,85,18,6.9,1580,EA DICE,M,69
Assassin's Creed: Unity,Xbox One,2014,Action,Ubisoft,2.27,0.9,0,0.33,3.5,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M,41
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93,86,8.2,3943,"Kojima Productions, Moby Dick Studio",M,82
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76,86,6.8,1319,Ubisoft Quebec,M,68
Destiny,Xbox One,2014,Shooter,Activision,2.14,0.92,0,0.31,3.37,75,11,5.5,1735,"Bungie Software, Bungie",T,55
Gears of War: Ultimate Edition,Xbox One,2015,Shooter,Microsoft Game Studios,2.61,0.33,0,0.34,3.28,82,74,7.5,563,"Splash Damage, The Coalition",M,75
FIFA 16,Xbox One,2015,Sports,Electronic Arts,0.89,2.12,0,0.24,3.25,84,45,4.4,459,EA Sports,E,44
Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.34,0.3,0,0.6,3.24,83,37,5.9,180,EA Sports,E,59
Halo: The Master Chief Collection,Xbox One,2014,Shooter,Microsoft Game Studios,1.91,1,0.03,0.29,3.23,85,69,7.2,1267,343 Industries,M,72
Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.89,0.94,0.2,3.21,88,85,8.7,691,Nintendo,E,87
